"X1986"	"X1987"	"X1988"	"X1989"	"X1990"	"X1991"	"X1992"	"X1993"	"X1994"	"X1995"	"X1996"	"X1997"	"X1998"	"X1999"	"X2000"	"X2001"	"X2002"	"X2003"	"X2004"	"X2005"	"X2006"	"X2007"
"128"	-5.26	-15.1	NA	NA	-9.77	-10	-13.1	-11.83	-14.81	NA	NA	-6.49	-6.331	-15.83	-12.95	-15.11	-10.83	-11.46	-6.954	NA	-10.26	-11
"129"	-6.61	-11.4	NA	NA	-8.96	-9.96	-13.98	-11.35	-12.92	NA	NA	-5.184	-11.67	-16.2	-11.39	-15.15	-9.64	-9.81	-7.78	NA	-7.99	-10.15
"130"	-8.92	-11.2	NA	NA	-8.05	-11.3	-12.85	-9.34	-10.49	NA	NA	-3.614	-12.23	-16.21	-11.17	-13.45	-7.56	-11.21	-6.675	NA	-4.354	-8.28
"131"	-7.56	-11	NA	NA	-4.36	-11.2	-12.22	-5.874	-8.1	NA	NA	-6.212	-12.76	-15.74	-12.2	-9.83	-6.483	-14.33	-6.239	NA	-3.208	-8.66
"132"	-8.54	-10.4	NA	NA	-4.78	-8.98	-12.23	-5.461	-4.095	NA	NA	-6.549	-12.82	-14.08	-12.71	-9.02	-5.215	-12.34	-8.24	NA	-2.958	-7.87
"133"	NA	-9.9	NA	NA	-3.98	-8.78	-12.03	-3.018	-4.374	NA	NA	-5.135	-11.04	-8.9	-11.29	-8.75	-1.202	-10.17	-8.03	NA	-0.349	-7.2
"134"	-8.63	-11	NA	NA	-4.78	-9.37	-11.74	-3.698	-3.687	NA	NA	-2.102	-9.29	-9.14	-11.53	-9.38	-3.356	-9.32	-5.002	NA	-2.299	-7.32
"135"	-11	-11.3	NA	NA	-4.15	-8.95	-10.16	-2.047	-0.054	NA	NA	-1.441	-5.285	-7.51	-10.5	-9.64	-6.583	-7.07	-5.502	NA	-1.153	-6.114
"136"	-10.3	-12.8	NA	NA	-4.76	-9.91	-12.94	-2.924	-0.38	NA	NA	-2.499	-7.64	-3.158	-8.71	-9.59	-5.503	-5.448	-3.79	NA	-1.072	-5.344
"137"	-10.3	-12.2	NA	NA	-4.39	-9.61	-11.98	-3.707	1.495	NA	NA	-1.711	-8.35	-5.005	-8.68	-7.28	-6.73	-2.913	-5.07	NA	-0.741	-7.3
"138"	-10.5	-10.1	NA	NA	-6.65	-9.61	-11.84	-5.285	-0.549	NA	NA	-1.612	-6.936	-4.382	-6.355	-4.568	-7.86	-3.698	-4.906	NA	-1.382	-5.589
"139"	-11.4	-8.84	NA	NA	-7.45	-8.82	-8.61	-6.646	-2.859	NA	NA	-1.635	-6.366	-5.412	-5.419	-6.726	-6.505	-3.801	-2.629	NA	-0.036	-4.924
"140"	-10.3	-9.83	NA	NA	-4.55	-5.81	-8.95	-6.793	-8.75	NA	NA	-0.506	-7.66	-5.497	-3.904	-5.95	-6.956	-3.936	-3.13	NA	-2.343	-4.391
"141"	-8.93	-9.65	NA	NA	-3.48	-4.94	-10.93	-7.08	-7.18	NA	NA	-0.555	-7.7	-7.59	-4.127	-6.299	-8.88	-4.634	-3.342	NA	-1.589	-4.989
"142"	-8.95	-9.52	NA	NA	-5.9	-5.42	-10.67	-6.416	-6.576	NA	NA	-0.879	-5.678	-5.887	-5.28	-7.12	-8.57	-3.208	-2.175	NA	-1.47	-4.195
"143"	-9.35	-7.72	NA	NA	-6.14	-4.9	-9.43	-4.659	-4.537	NA	NA	-2.453	-3.823	-6.04	-6.895	-7.32	-8.59	-0.563	-4.604	NA	-2.925	-4.86
"144"	-8.01	-7.46	NA	NA	-4.33	-4.01	-7.66	-3.895	0.717	NA	NA	-2.544	-3.432	-5.711	-8.27	-2.897	-8.84	-1.452	-5.146	NA	-3.589	-4.662
"145"	-9.04	-5.41	NA	NA	-3.81	-3.53	-4.36	-1.41	1.639	NA	NA	-2.34	-2.629	-5.412	-9.05	-6.236	-7.73	-0.209	-5.043	NA	-4.332	-2.265
"146"	-8.7	-4.04	NA	NA	-3.56	-4.1	-4.82	0.19	1.69	NA	NA	-4.657	-3.498	-5.608	-8.17	-5.713	-4.139	-1.4	-4.408	NA	-3.046	-2.528
"147"	-9.19	-4.85	NA	NA	-2.23	-3.78	0.58	0.945	1.63	NA	NA	-0.646	-4.457	-5.315	-5.331	-3.881	-2.466	-2.663	-3.371	NA	-0.284	-3.706
"148"	-8.45	-2.41	NA	NA	-2.07	-4.35	2.57	2.802	-1.741	NA	NA	-1.464	-2.865	-6.428	-3.663	-2.632	-0.87	-2.932	-0.845	NA	1.701	-3.771
"149"	-7.72	-2.07	NA	NA	-5.18	-1.67	-1.26	2.042	-3.398	NA	NA	-1.449	-2.13	-4.49	-4.562	-1.416	0.435	-3.363	-0.217	NA	-1.894	-2.98
"150"	-7.46	-1.41	NA	NA	-2.63	-1.98	-1.01	1.997	-2.938	NA	NA	-2.935	-0.873	-3.627	-3.351	-0.432	2.331	-3.068	0.212	NA	-3.475	-2.295
"151"	-6.78	-1.28	NA	NA	-0.32	0.96	1.65	1.585	-0.349	NA	NA	-2.784	2.7	-3.929	-3.059	6.643	2.11	-2.381	0.313	NA	-1.662	-1.041
"152"	-8.52	-2.44	NA	NA	0.29	0.49	-0.96	1.623	1.803	NA	NA	-2.127	2.258	-0.277	-4.044	3.708	1.739	1.38	0.961	NA	-0.841	-2.283
"153"	-7.2	-1.73	NA	NA	-0.17	-0.06	4.71	1.458	1.857	NA	NA	-0.963	3.719	-1.042	-2.436	1.873	1.768	1.629	0.367	NA	-0.968	-0.972
"154"	-7.96	0.23	NA	NA	-1.14	0	4.28	-0.615	1.239	NA	NA	-1.796	4.025	-0.709	-2.032	0.971	3.059	2.111	1.26	NA	0.812	0.86
"155"	-5.75	-0.99	NA	NA	-0.79	1.28	1.67	1.452	2.48	NA	NA	0.507	4.97	1.819	-2.211	1.628	1.973	2.092	2.485	NA	1.02	-0.234
"156"	-5.72	-2.53	NA	NA	-0.22	3.91	2.1	1.016	3.931	NA	NA	1.078	3.358	1.987	-2.808	2.178	1.041	4.155	3.34	NA	0.255	0.339
"157"	-5.51	-3.29	NA	NA	1.17	3.39	-0.75	0.262	1.974	NA	NA	2.037	1.613	2.273	-1.235	1.318	1.892	2.435	3.834	NA	0.624	3.514
"158"	-4.42	-2.02	NA	NA	0.41	1.73	-1.68	0.371	1.162	NA	NA	1.017	3.05	0.525	-0.608	3.156	2.112	-0.496	3.779	4.608	1.101	3.299
"159"	-2.77	-0.54	NA	NA	4.46	3.44	-0.55	1.945	1.389	NA	NA	3.287	3.174	1.053	1.071	3.99	1.079	-0.279	2.53	2.936	1.548	1.722
"160"	-1.91	0.05	NA	NA	2.44	2.97	-0.38	1.888	3.018	NA	NA	5.167	5.599	0.865	3.472	1.858	1.597	-0.556	0.197	2.85	0.672	1.906
"161"	-3.13	2.06	NA	NA	2.9	1.37	-0.15	1.607	1.193	NA	NA	5.264	3.597	2.68	4.024	2.126	1.635	0.86	1.764	2.713	0.044	4.287
"162"	-2.64	1.07	NA	NA	1.53	1.17	1.02	2.514	2.513	NA	NA	5.784	2.231	2.922	4.861	0.79	3.202	1.464	2.061	2.381	0.884	3.169
"163"	-3.22	2.03	NA	NA	3.76	1.12	0.82	2.14	1.634	NA	NA	2.863	2.924	2.555	6.054	2.91	3.734	3.258	0.852	4.067	0.682	4.779
"164"	-1.99	1.19	NA	NA	3.01	1.37	1.01	0.904	3.629	NA	NA	4.299	2.834	4.069	4.802	2.75	3.993	3.035	0.977	2.325	0.836	2.848
"165"	-1.84	0.91	NA	NA	2.23	4.1	0.98	1.323	4.19	NA	NA	5.326	3.377	4.035	1.72	4.397	4.959	5.597	3.59	2.663	1.195	0.859
"166"	-1.59	4.65	NA	NA	3.52	5.88	-0.65	1.091	2.876	NA	NA	6.534	3.895	0.864	2.417	5.716	3.549	3.559	3.424	1.767	2.569	3.231
"167"	0.35	3.03	NA	NA	4.97	5.25	1.09	0.887	4.436	NA	NA	8.35	5.791	2.567	3.452	3.599	3.387	3.277	2.059	2.358	1.429	4.298
"168"	1.58	1.42	NA	NA	3.49	1.98	1.54	2.714	5.302	NA	NA	6.347	4.533	1.234	2.665	3.101	2.103	3.785	2.759	0.328	0.789	2.694
"169"	1.71	1.73	NA	NA	-0.54	4.01	1.11	4.867	2.412	NA	NA	7.04	2.276	2.035	5.678	3	2.986	2.927	2.477	0.318	2.06	6.498
"170"	-0.72	0.85	NA	NA	0.81	2.55	2.82	6.311	2.136	NA	NA	8.96	5.047	3.052	4.203	3.068	2.414	5.087	2.645	4.052	3.077	5.458
"171"	1.37	0.88	NA	NA	4.82	1.26	6.11	3.447	0.815	NA	NA	5.822	6.51	4.855	6.729	3.074	3.263	4.217	3.774	6.513	2.794	4.614
"172"	2.09	2.94	NA	NA	5.14	0.69	3.63	5.495	1.467	NA	NA	7.5	3.492	2.708	3.734	4.542	6.693	2.946	3.273	5.61	2.782	2.683
"173"	2.82	3.2	NA	NA	6.61	2.37	6.06	6.548	4.537	NA	NA	4.637	1.705	1.619	4.284	4.622	4.974	2.97	3.358	4.569	4.49	4.676
"174"	4.28	2.98	NA	NA	5.46	2.87	4.65	2.828	3.069	NA	NA	5.83	2.878	5.802	7.96	4.717	3.908	3.463	4.189	3.034	0.392	4.28
"175"	4.57	2.14	NA	NA	3.57	3.31	5.26	4.863	5.165	NA	NA	7.79	4.652	3.894	3.569	3.203	2.785	3.178	4.4	5.004	0.664	4.44
"176"	3.11	5.72	NA	NA	4.43	1.64	3.96	2.535	4.537	NA	NA	6.262	4.141	2.651	5.783	5.618	5.776	4.689	5.021	3.936	4.254	3.723
"177"	1.94	7.83	NA	NA	5.93	1.9	3.46	2.373	5.026	NA	NA	7.05	2.606	2.466	7.06	6.268	6.55	9.8	3.479	4.816	5.296	4.288
"178"	2.28	10.11	NA	NA	5.94	3.63	1.94	2.249	6.345	NA	NA	5.468	4.831	3.729	5.568	6.142	9.74	8.39	2.277	4.872	5.942	8.24
"179"	2.59	7.05	NA	NA	4.94	2.63	2.68	5.124	6.376	NA	NA	6.942	7.96	3.414	4.701	5.523	7.45	5.753	2.204	2.925	5.365	4.6
"180"	1.9	6.95	NA	NA	6.41	4.04	3.96	6.328	4.482	NA	NA	6.003	6.652	3.198	4.004	4.877	5.409	4.163	2.859	4.66	2.489	5.71
"181"	2.58	5.34	NA	NA	6.23	3.84	4.13	6.826	2.415	NA	NA	7.98	7.28	4.046	4.61	2.265	6.152	3.6	1.99	2.085	3.061	4.103
"182"	1.6	4.8	NA	NA	4.76	1.4	3.17	3.86	2.115	NA	NA	5.696	7.64	4.977	8.28	3.3	5.848	5.185	1.734	3.926	3.697	5.227
"183"	0.84	1.3	NA	NA	8.07	4.24	2.38	3.353	4.035	NA	NA	8.11	6.769	4.928	12.48	5.327	7.21	7.64	3.688	5.598	1.737	4.667
"184"	1.81	3.7	NA	NA	5.26	1.66	4.31	3.716	4.744	NA	NA	5.132	8.3	9.92	8.14	2.655	5.045	6.529	2.942	2.035	2.218	4.494
"185"	5.38	5.58	NA	NA	7.24	1.15	4.64	6.539	4.958	NA	NA	4.927	4.197	8.22	8.86	2.503	5.56	6.043	3.485	3.691	4.605	1.443
"186"	9.42	7.66	NA	NA	6.37	4.42	4.07	6.33	2.575	NA	NA	3.215	4.396	12.97	7.21	4.652	4.459	6.322	2.72	3.282	6.488	1.817
"187"	6.71	5.68	NA	NA	4.68	4.11	5.81	2.469	2.879	NA	NA	5.708	4.441	6.058	6.217	5.49	5.962	5.699	3.868	7.33	5.379	1.43
"188"	5.75	4.07	NA	NA	8.14	4.13	7.58	3.071	3.398	NA	NA	6.555	4.538	6.789	5.308	3.458	5.788	6.161	4.303	4.485	5.286	4.18
"189"	3.48	3.23	NA	NA	4.74	4.36	6.22	3.451	5.193	NA	NA	4.577	4.974	7.22	3.497	3.005	4.462	4.963	2.049	7.69	6.755	7.63
"190"	2.25	2.56	NA	NA	4.05	4.94	5.19	3.98	9.26	NA	NA	5.465	4.214	7.42	7.81	4.538	5.514	6.986	2.606	9.72	6.586	6.008
"191"	1.43	3.54	NA	NA	7.33	4.36	2.34	6.473	6.895	NA	NA	6.362	5.054	3.169	4.396	6.198	1.414	6.163	2.493	4.039	8.36	6.447
"192"	1.65	3.24	NA	NA	5.95	3.82	4.94	4.657	7.37	NA	NA	6.331	3.909	3.116	5.663	5.896	3.386	5.356	3.138	1.968	9.42	6.521
"193"	4.95	4.16	NA	NA	8.31	3.82	2.66	5.093	3.487	NA	NA	8.64	5.891	3.685	2.079	5.024	4.318	9.22	1.602	4.739	9.04	7.13
"194"	6.08	3.1	NA	NA	6.56	3.66	4.32	7.27	3.382	NA	NA	5.092	2.81	4.59	3.208	8.03	3.919	4.011	1.514	5.699	4.749	6.928
"195"	3.24	4.13	NA	NA	2.46	7.84	4.23	6.227	5.311	NA	NA	5.081	3.115	2.364	4.369	7.71	6.539	3.103	2.22	4.655	2.608	5.899
"196"	4.74	2.92	NA	NA	2.13	8.31	3.79	7.41	4.801	NA	NA	5.758	3.574	2.002	6.613	5.695	4.397	4.826	2.963	5.035	2.853	7.54
"197"	2.84	3.33	NA	NA	2.59	7.66	1.17	8.62	2.313	NA	NA	5.249	4.502	6.714	3.659	9.24	3.112	5.014	3.042	4.277	5.75	6.24
"198"	3.97	5.03	NA	NA	2.91	6.87	2.16	6.143	3.128	NA	NA	5.335	4.507	7.84	4.914	9.33	2.845	9.13	2.683	3.262	4.521	5.829
"199"	3.27	3.34	NA	NA	4.15	7.81	3.06	4.774	5.11	NA	NA	5.302	7.5	6.09	8.85	9.01	5.804	10.98	2.534	4.151	3.927	5.182
"200"	3.33	6.2	NA	NA	3.36	7.6	1.86	4.967	4.198	NA	NA	5.42	8.04	6.437	5.291	7.95	8.17	7.15	5.449	4.737	4.372	6.067
"201"	2.81	4.73	NA	NA	1.54	5.93	2.55	5.872	4.961	NA	NA	4.538	8.17	5.421	3.94	7.02	4.908	NA	5.828	2.03	7.47	6.021
"202"	3.12	4.63	NA	NA	2.64	4.07	1.97	3.092	5.088	NA	NA	2.856	7.99	5.997	5.306	6.231	5.387	NA	5.723	NA	7.61	6.579
"203"	1.07	5.08	NA	NA	5.24	5.94	3.39	4.057	3.9	NA	NA	4.423	9.13	8.79	9.65	7.9	6.114	NA	6.223	NA	3.678	5.196
"204"	1.83	7.29	NA	NA	6.13	5.25	1.41	2.459	7.76	NA	NA	5.18	8.8	5.6	7.17	5.833	5.187	NA	3.562	NA	3.617	7.4
"205"	0.58	5.86	NA	NA	6.66	2.89	3.08	4.298	6.559	NA	NA	4.661	8.09	5.264	7.49	4.002	2.369	NA	4.012	NA	2.677	8.73
"206"	1.55	5.54	NA	NA	5.46	3.3	5.44	5.994	3.764	NA	NA	3.553	7.36	8.04	7.34	4.784	2.875	NA	3.604	NA	3.84	7.18
"207"	4.87	5.23	NA	NA	4.51	5.5	8.78	4.218	2.167	NA	NA	2.135	6.119	6.463	7.77	6.318	3.586	NA	3.01	NA	2.629	7.04
"208"	4.35	5.11	NA	NA	2.84	7.07	6.14	6.29	3.467	NA	NA	2.339	7.22	5.701	5.778	7.95	1.743	NA	2.138	NA	5.048	8.5
"209"	3.19	6.37	NA	NA	1.55	5.65	5.2	6.313	3.446	NA	NA	2.43	5.437	4.103	5.735	6.304	1.604	NA	3.595	NA	5.884	6.565
"210"	2.01	1.14	NA	NA	2.78	4.17	8.45	7.24	5.939	NA	NA	3.851	3.609	3.405	10.46	7.5	2.207	NA	0.265	NA	4.674	7.44
"211"	5.04	1.47	NA	NA	2.28	3.75	4.26	7.25	7.14	NA	NA	7.18	3.728	5.024	9.9	6.952	5.939	NA	1.255	NA	5.568	5.932
"212"	4.14	4.12	NA	NA	5.1	6.85	3.6	8.21	5.037	NA	NA	6.337	4.248	8.7	8.35	4.812	5.664	4.107	3.217	5.677	7.13	2.826
"213"	4.25	4.41	NA	NA	6.72	6.81	3.86	6.244	6.55	NA	NA	5.369	4.659	8.61	6.963	3.761	3.724	5.471	3.066	6.169	7.75	5.086
"214"	2.78	4.57	NA	NA	8.89	4.31	4.27	7.77	6.123	NA	NA	4.213	2.769	6.871	7.51	3.684	4.957	5.222	2.038	5.49	8.35	5.678
"215"	2.21	3.92	NA	NA	6.36	4.66	4.821	4.028	6.26	NA	NA	2.884	3.036	6.424	6.036	3.274	7.18	4.62	2.409	7.451	6.623	6.412
"216"	2.2	4.99	NA	NA	5.17	4.53	3.153	3.332	6.569	NA	NA	2.832	1.894	5.575	4.89	3.312	5.287	6.875	2.999	7.47	5.488	5.383
"217"	2.69	4.52	NA	NA	6.53	7.15	2.102	2.371	4.907	NA	NA	0.341	4.771	5.63	4.556	5.866	3.961	4.324	2.694	5.804	5.511	8.19
"218"	2.52	4.73	NA	NA	4.57	6.11	1.951	3.451	6.07	NA	NA	2.197	6.061	6.763	4.806	11.88	1.892	3.237	2.418	4.883	4.897	10.37
"219"	1.99	3.53	NA	NA	7.06	3.83	3.526	2.565	2.809	NA	NA	3.149	6.849	6.205	3.898	3.877	1.417	4.332	4.624	8.71	5.069	8.23
"220"	0.94	2.88	NA	NA	7.21	3.86	8.24	3.097	4.977	NA	NA	3.862	4.924	7.73	5.013	5.464	3.2	5.717	5.078	7.73	4.378	6.571
"221"	0.5	3.12	NA	NA	7.33	4.05	4.356	0.6	5.533	NA	NA	4.566	3.008	6.357	3.917	6.61	3.167	4.364	3.766	6.497	5.259	4.403
"222"	-1.72	0.83	NA	NA	5.21	4.09	6.056	1.933	4.346	NA	NA	4.484	1.8	8.68	3.276	5.605	1.683	6.961	3.938	7.23	8.02	6.193
"223"	-0.08	3.92	NA	NA	5.67	3.39	4.22	2.47	1.902	NA	NA	3.327	1.401	8.28	4.507	3.862	1.761	2.839	3.303	7.7	6.796	8.61
"224"	0.25	3.57	NA	NA	3.44	3.46	5.511	1.614	2.635	NA	NA	6.538	1.65	5.376	2.296	4.015	4.249	1.385	4.839	8.08	6.442	8.77
"225"	2.41	2.46	NA	NA	2.54	2.81	1.849	1.622	3.587	NA	NA	6.903	1.056	4.309	-0.28	3.258	0.458	2.763	2.822	5.789	9.54	7.01
"226"	2.86	3.37	NA	NA	4.86	4.33	1.352	2.715	4.753	NA	NA	3.705	2.598	2.254	0.923	2.675	2.518	2.142	4.472	4.819	6.672	8.82
"227"	1.88	4.38	NA	NA	4.05	3.92	1.703	4.205	4.098	NA	NA	4.712	1.058	2.936	0.848	3.12	5.279	2.865	2.371	3.638	4.539	8.89
"228"	2.07	4.61	NA	NA	2.45	3.4	1.732	3.184	4.24	NA	NA	2.997	1.39	3.833	2.017	4.581	6.58	4.258	3.661	2.697	4.867	6.992
"229"	1.94	3.9	NA	NA	1.74	1.96	1.804	3.678	3.612	NA	NA	1.962	1.26	3.1	2.023	3.094	4.827	2.149	3.21	1.756	4.698	8.01
"230"	1.88	3.27	NA	NA	2.21	2.25	1.542	3.856	2.624	NA	NA	3.413	5.131	5.545	2.242	0.666	3.948	3.766	4.145	1.381	4.733	7.25
"231"	4.02	3.57	NA	NA	4.62	2.32	0.643	4.235	3.742	NA	NA	0.141	2.976	3.343	3.409	2.21	3.191	3.047	4.66	1.701	4.981	6.051
"232"	2.23	4.9	NA	NA	3.52	4.13	0.326	3.331	1.673	NA	NA	0.374	4.85	3.424	1.616	4	1.594	3.398	4.032	4.187	3.206	5.875
"233"	2.65	1.47	NA	NA	1.63	2.76	-0.821	2.843	2.455	NA	NA	-0.892	4.163	2.657	1.427	2.541	1.24	2.623	3.281	2.496	3.848	5.336
"234"	2.77	2.76	NA	NA	1.38	2.31	0.5	2.01	2.319	NA	NA	-1.196	3.496	0.505	2.129	1.241	1.232	1.568	3.778	4.039	5.354	4.38
"235"	3.96	0.98	NA	NA	2.64	2.03	0.61	0.499	3.661	NA	NA	-1.415	3.805	-0.964	1.012	1.19	2.536	3.374	1.609	5.271	5.391	4.375
"236"	4.24	1.09	NA	NA	2.1	1.36	0.546	1.322	1.35	NA	NA	-0.418	4.078	-1.458	2.803	1.348	1.308	2.075	2.066	2.991	0.616	4.502
"237"	4.36	0.11	NA	NA	0.91	-0.21	-0.016	-0.078	0.891	NA	NA	-1.651	2.953	-0.448	6.031	2.436	1.324	1.386	2.612	2.53	0.582	5.729
"238"	6.9	-1.52	NA	NA	-0.31	-0.51	0.156	-0.005	3.239	NA	NA	-4.539	2.063	0.529	1.221	2.884	0.945	1.777	1.863	2.275	0.118	4.865
"239"	5.39	-1.51	NA	NA	0.43	-1.11	1.24	2.819	1.218	NA	NA	-4.637	1.861	0.178	-0.74	1.702	-0.107	2.543	2.775	1.508	1.117	5.514
"240"	1.71	-0.2	NA	NA	1.32	1.35	2.452	1.232	2.516	NA	NA	-3.348	1.049	-0.297	-2.308	1.919	-0.411	2.08	2.701	0.712	1.162	4.526
"241"	-0.2	3.49	NA	NA	1.91	2.58	1.109	0.382	1.956	NA	NA	-3.922	-0.036	-1.029	-2.953	0.048	-0.936	1.785	1.617	-0.15	1.306	3.691
"242"	-0.53	0.73	NA	NA	1.93	1.22	0.908	0.431	2.234	NA	NA	-4.966	1.496	-1.766	-0.665	0.581	1.156	2.931	0.994	0.338	0.941	2.135
"243"	-2.01	0.14	NA	NA	1.03	0.95	-1.12	-0.221	1.856	NA	NA	-4.349	0.97	-3.321	0.2	0.316	1.566	2.166	0.725	-0.047	0.747	1.42
"244"	-3.57	1.36	NA	NA	0.57	0.04	-3.257	-1.318	-0.339	NA	NA	-4.398	1.14	-4.273	0.522	0.03	3.346	4.519	0.545	-1.001	2.323	1.481
"245"	-2.74	-0.34	NA	NA	0.25	3.2	-4.221	-0.063	-2.364	NA	NA	-0.872	0.913	-4.272	-1.02	0.447	0.776	5.313	0.394	1.535	-0.67	1.268
"246"	-3.75	-0.63	NA	NA	-0.67	1.69	-3.816	-0.284	-1.918	NA	NA	-1.418	0.186	-3.643	-0.966	-1.718	-0.226	2.953	1.518	0.343	-1.44	2.876
"247"	-4.41	-4.91	NA	NA	-1.71	0.58	-2.992	0.083	-1.735	NA	NA	-0.766	-0.41	-2.97	-0.313	-0.233	-0.036	2.043	1.163	1.329	-0.414	0.841
"248"	-5.33	-4.86	NA	NA	-3.09	-0.23	-2.352	-0.346	-2.728	NA	NA	-2.794	-0.496	-4.43	-1.601	0.046	-0.603	0.533	0.586	5.866	0.507	-0.885
"249"	-4.31	-6.53	NA	NA	-4.14	-1.45	-2.144	-2.367	-2.967	NA	NA	-3.934	-0.345	-4.335	-1.652	1.683	-1.055	-0.811	-0.209	1.376	-0.441	-2.153
"250"	-3.28	-4.98	NA	NA	-3.61	-1.52	-3.455	-1.063	-2.948	NA	NA	-4.066	-0.806	-5.66	-1.324	0.23	-1.361	-1.079	-1.765	-0.671	0.051	-1.32
"251"	-4.86	-5.3	NA	NA	-3.14	-0.96	-4.16	-2.378	-1.206	NA	NA	-5.925	-2.558	-6.619	-2.37	-0.304	-2.134	-0.654	-3.015	-1.782	-1.375	-0.771
"252"	-6.53	-5.11	NA	NA	-3.86	-2.03	-5.702	-1.583	-0.983	NA	NA	-7.38	-3.125	-6.908	-4.438	-1.524	-3.353	-1.368	-3.497	-1.046	0.232	-2.072
"253"	-4.93	-1.73	NA	NA	-3.26	-2.88	-3.448	-2.748	-0.469	NA	NA	-8.49	-1.258	-5.178	-6.575	-1.983	-3.229	-3.005	-2.657	-3.796	-0.349	-2.444
"254"	-6.05	-4.16	NA	NA	-3.06	-1.97	-4.995	-3.99	-3.759	NA	NA	-6.971	-1.059	-3.052	-7.87	-3.088	-4.604	-1.792	-2.122	-3.736	-1.315	-1.993
"255"	-4.8	-4.93	NA	NA	-3.77	-2.37	-5.723	-5.418	-4.381	NA	NA	-5.462	-2.586	-3.418	-7.27	-3.322	-4.705	-2.254	-1.892	-3.062	-1.563	-0.856
"256"	-4.42	-6.59	NA	NA	-3.77	-2.27	-6.187	-5.22	-5.146	NA	NA	-5.809	-1.507	-4.925	-4.427	-2.85	-3.033	-2.179	-1.743	-2.865	-1.308	-1.868
"257"	-3.65	-5.49	NA	NA	-5.04	-3.83	-5.536	-5.311	-4.193	NA	NA	-4.008	-1.778	-7.25	-4.895	-4.586	-1.854	-1.177	-4.479	-2.315	-1.884	-3.988
"258"	-3.57	-1.02	NA	NA	-4.98	-4.06	-5.761	-5.727	-5.417	NA	NA	-10.3	-1.626	-4.307	-4.706	-5.438	-1.849	-2.46	-3.453	-2.606	-4.386	-2.407
"259"	-5.22	-1.6	NA	NA	-5.76	-3.54	-4.411	-6.543	-6.636	NA	NA	-11.51	-1.988	-4.448	-6.233	-5.434	-2.445	-3.694	-3.635	-3.108	-2.614	-2.994
"260"	-6.57	-5	NA	NA	-6.66	-4.95	-4.652	-7.4	-6.832	NA	NA	-6.096	-4.385	-5.902	-7.73	-8.21	-3.268	-5.403	-4.94	-3.426	-2.325	-3.859
"261"	-8.7	-6.52	NA	NA	-7.49	-5.45	-6.163	-6.62	-6.766	NA	NA	-6.987	-4.185	-6.176	-6.537	-7.42	-2.531	-4.929	-4.827	-2.741	-0.928	-4.825
"262"	-6.49	-6.42	NA	NA	-7.63	-5.93	-8.96	-5.881	-11.56	NA	NA	-9.72	-4.853	-7.6	-4.37	-7.43	-2.12	-2.35	-4.872	-1.936	2.293	-7.46
"263"	-4.2	-7.78	NA	NA	-8.11	-7.37	-9	-6.74	-10.26	NA	NA	-10.54	-6.5	-7.43	-4.736	-8.98	-1.978	-2.539	-5.625	-3.01	-0.532	-5.064
"264"	-6.54	-7.04	NA	NA	-7.51	-8.91	-9.27	-6.469	-2.485	NA	NA	-11.03	-7.03	-9.32	-7.92	-9.59	-2.016	-3.757	-8.13	-3.707	-1.75	-4.262
"265"	-11	-7.37	NA	NA	-6.91	-8.41	-8.96	-8.82	-3.539	NA	NA	-10.7	-5.816	-7.04	-9.82	-10.61	-2.428	-5.116	-9.45	-3.552	1.452	-4.176
"266"	-11.6	-6.07	NA	NA	-4.81	-9.66	-7.26	-9.12	-5.98	NA	NA	-11.26	-6.259	-5.881	-8.54	-10.21	-1.722	-3.629	-9.79	-7	-2.702	-5.05
"267"	-9.95	-7.62	NA	NA	-4.49	-10.69	-7.18	-9.88	-7.44	NA	NA	-11.76	-5.515	-6.06	-9.34	-10.22	-5.114	-4.614	-8.25	-8.5	-2.952	-5.306
"268"	-8.44	-10.9	NA	NA	-8.31	-11.46	-6.722	-10.22	-6.232	NA	NA	-14.77	-4.476	-6.186	-8.78	-10.33	-5.192	-6.91	-6.177	-9.48	-4.022	-8.52
"269"	-10	-11.8	NA	NA	-6.74	-9.45	-6.179	-12.16	-5.501	NA	NA	-14.34	-2.158	-5.235	-8.55	-11.66	-5.327	-7.12	-6.802	-9.71	-3.125	-7.97
"270"	-8.26	-13.1	NA	NA	-6.86	-8.71	-7.76	-11.55	-5.129	NA	NA	-14.28	1.599	-4.731	-8.31	-8.22	-7.62	-7.08	-6.76	-10.07	-4.102	-6.683
"271"	-11.2	-14.6	NA	NA	-6.76	-11.48	-7.79	-11.54	-5.621	NA	NA	-12.21	-3.236	-4.98	-8.49	-7.58	-8.32	-7.91	-7.22	-10.62	-6.746	-7.56
"272"	-13.8	-15.5	NA	NA	-7.1	-12.57	-8.19	-14.18	-6.079	NA	NA	-12.39	-5.765	-7.9	-8.9	-6.856	-9.75	-7.12	-7.26	-10.95	-7.72	-7.27
"273"	-18.9	-15.2	NA	NA	-10.7	-13.56	-6.314	-14.31	-8.44	NA	NA	-10.56	-5.826	-10.88	-8.68	-6.19	-9.72	-6.389	-10.27	-11.7	-8.77	-8.67
"274"	-17.4	-15.2	NA	NA	-13.7	-9.46	-5.957	-15.12	-9.22	NA	NA	-11.93	-5.143	-11.51	-8.2	-7.88	-12.95	-7.88	-12.23	-10.16	-9.87	-9.32
